Group hierarchy	Region	Description	Service	Upfront	Monthly	First 12 months total	Currency	Configuration summary
My Estimate	US East (Ohio)		Application Load Balancer	0	133.23	1598.76	USD	Number of Application Load Balancers (1)
My Estimate	US East (Ohio)		Amazon CloudFront	0	53	636	USD	Data transfer out to internet (500 GB per month), Data transfer out to origin (500 GB per month), Number of requests (HTTPS) (500000 per month)
My Estimate	US East (Ohio)	MyUdacity1Vpc	Amazon Virtual Private Cloud (VPC)	0	110.7	1328.4	USD	Number of NAT Gateways (2)
My Estimate	US East (Ohio)	Ec2-app-server	Amazon EC2	0	536.52	6438.24	USD	Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage amount (500 GB), Instance type (m5a.large)
My Estimate	US East (Ohio)	db-servers	Amazon RDS for MySQL	0	4069.06	48828.72	USD	Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (300 GB)
My Estimate	US East (Ohio)	EC2-web-servers	Amazon EC2	0	2986.56	35838.72	USD	Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage amount (200 GB), Instance type (m5.4xlarge)
My Estimate	US East (Ohio)	MyVPC	Amazon Virtual Private Cloud (VPC)	0	508	6096	USD	Working days per month (30), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Number of Site-to-Site VPN Connections (0), Number of subnet associations (4)
My Estimate	US East (Ohio)	MyS3	S3 Standard	0	132.16	1585.92	USD	S3 Standard storage (5 TB per month)
My Estimate	US East (Ohio)	MyS3	Data Transfer	0	0	0	USD	DT Inbound: Internet (3 TB per month), DT Outbound: Amazon CloudFront (2 TB per month)
								
								
								
Acknowledgement								
* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.								
